V 0.0.0.1 - VARIABLES,COMMENTS,br,de,en,eo,fr,hu,id,it,ja,lt,lv,nb,nl,pl,ro,ru,sk,sl,sv,tr,uk,zh
__BU_MAIN_ARGS_LIB__MSG__FILES__SetLastAccess__P_FAKEDATE__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressCMD__P_CMD__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressCMD__P_CMD__CMDSTR,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressCMD__P_NAME__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressFormat__P_CMD__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressFormat__P_NAME__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressCMD__P_CMD__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressCMD__P_CMD__CMDSTR,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressCMD__P_NAME__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressFormat__P_FORM__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressFormat__P_NAME__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__IsPartitionFull__P_FILEFS__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__IsPartitionFull__P_FILEFS__DF,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__GetFSInfos__P_PATH__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__GetFSInfos__P_PATH__DF,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_CURRENT_OWNER__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_NEW_OWNER__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_PATH__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_PATH__DF,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_CURRENT_OWNER__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_NEW_OWNER__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_PATH__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_PATH__DF,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__ALPHANUMCHAR,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutBeforeAndAfterFirstAndLastDelims__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutBeforeAndAfterFirstAndLastDelims__P_DELIMITER__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringAfterNthDelim__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringAfterNthDelim__P_DELIMITER__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringAfterNthDelim__P_ITERATIONS__INTPOS,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringBeforeNthDelim__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringBeforeNthDelim__P_DELIMITER__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringBeforeNthDelim__P_ITERATIONS__INTPOS,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__DeleteLettersInString__,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__GT_1,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringAfterDelim__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringAfterDelim__P_DELIM__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringAfterDelim__P_ITERATIONS__INTPOS,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringBeforeDelim__P_TARGET__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringBeforeDelim__P_TARGET__P_DELIM__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringBeforeDelim__P_TARGET__P_DELIM__ALPHANUMCHAR,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringOccurences__P_TARGET__P_STRING__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringOccurences__P_TARGET__P_DELIM__Z,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringOccurences__P_TARGET__P_DELIM__ALPHANUMCHAR,This variable stores the message that ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_BASICMATHS_LIB__MSG__BytesToHuman__,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_INPUTS_LIB__MSG__INVALID_ANSWER,This variable stores the message that,,,Please enter a valid answer (yes / no) !,,Veuillez entrer une réponse valide (oui /non) !,,,,,,,,,,,,,,,,,
__BU_MAIN_INPUTS_LIB__MSG__ASK_CONTINUE_EXEC,This variable stores the message that,,,Do you want to continue the script's execution ? (yes / no),,Voulez-vous continuer l'exécution du script ? (oui / non),,,,,,,,,,,,,,,,,
__BU_MAIN_INPUTS_LIB__MSG__ANSWER_PROMPT,This variable stores the message that,,,Enter your answer :,,Entrez votre réponse,,,,,,,,,,,,,,,,,
__BU_MAIN_INPUTS_LIB__MSG__RESUME_EXEC,This variable stores the message that,,,"Resuming the execution of the $(BU.Main.Decho.Decho.Highlight ""$__BU_MAIN_PROJECT_NAME"") script",,Reprise de l'exécution du script %s,,,,,,,,,,,,,,,,,
__BU_MAIN_INPUTS_LIB__MSG__CANCEL_EXEC,This variable stores the message that,,,"Terminating the $(BU.Main.Decho.Decho.Highlight ""$__BU_MAIN_PROJECT_NAME"")'s execution",,Abandon de l'exécution du projet %s,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__IsDateYMD_HMS__DATE_BAD_TIMESTAMP_FORMAT,This variable stores the message that,,,Warning : the date is not formatted in a correct timestamp,,Attention : la date n'est pas formatée dans un timestamp correct,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__IsDateYMD_HMS__DATE_BAD_TIMESTAMP_FORMAT__ADVICE,This variable stores the message that,,,Please use one of these formats :,,Veuillez utiliser un de ces formats :,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__IsDateYMD_HMS__HOUR_BAD_TIMESTAMP_FORMAT,This variable stores the message that,,,Warning : the hour is not formatted in a correct timestamp,,Attention : l'heure n'est pas formatée dans un timestamp correct,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__IsDateYMD_HMS__HOUR_BAD_TIMESTAMP_FORMAT__ADVICE,This variable stores the message that,,,Please use only this format : hh:mm:ss,,Veuillez n'utiliser que ce format : hh:mm:ss,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__IsAlphaStringOnly__NOT_A_STRING,This variable stores the message that,,,Not a string,,Pas une chaîne de caractères,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__IsAlphaNumStringOnly__NOT_A_STRING,This variable stores the message that,,,Not a string,,Pas une chaîne de caractères,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckRootEUID__NO_ROOT_PRIVILEGES,This variable stores the message that,,,YOU NEED ROOT USER'S PRIVILEGES TO PERFORM THIS ACTION !,,VOUS AVEZ BESOIN DES PRIVILÈGES DU SUPER-UTILISATEUR POUR EFFECTUER CETTE ACTION,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckRootEUID__NO_ROOT_PRIVILEGES__ADVICE,This variable stores the message that,,,Please launch again your script with the super-user privileges,,Veuillez relancer votre script avec les droits du super-administrateur,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckDiskUsedSpace__NO_SPACE_LEFT_ON_THE_DEVICE,This variable stores the message that,,,NO SPACE LEFT ON THE TARGET FILE SYSTEM !!!,,PLUS D'ESPACE DISQUE DISPONIBLE SUR LE SYSTÈME DE FICHIERS CIBLE ! !!,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckDiskUsedSpace__NO_SPACE_LEFT_ON_THE_DEVICE__ADVICE_1,This variable stores the message that,,,"Please empty this file system (mounted on the « %s » partition) before using it, or use another partition to write data in a file",,"Veuillez vider ce système de fichiers (monté sur la partition « %s ») avant de l'utiliser, ou utilisez une autre partition pour écrire des données dans un fichier.",,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckDiskUsedSpace__NO_SPACE_LEFT_ON_THE_DEVICE__ADVICE_2,This variable stores the message that,,,"Since the file system's disk space is full, the script has to be exited in order to avoid potential bugs",,"Comme l'espace disque du système de fichiers est utilisé dans sa totalité, l'exécution du script doit être interrompue pour éviter d'éventuels bugs",,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckDiskUsedSpace__NO_SPACE_LEFT_ON_THE_DEVICE__BAD_VALUE,This variable stores the message that,,,No space left on the target device's partition,,Plus d'espace disque disponible sur le système de fichiers cible,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckDirPathExists__MISSING_DIR_PATH,This variable stores the message that,,,<missing directory path>,,<chemin de dossier manquant>,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckFilePathExists__MISSING_FILE_PATH,This variable stores the message that,,,<missing file path>,,<chemin de fichier manquant>,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckProjectLogPath__NO_EXISTING_PROJECT_LOG_FILE,This variable stores the message that,,,Warning : no existing log file,,Attention : aucun fichier de logs existant,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckProjectLogPath__CREATING_LOG_FILE_FOR_THE_CURRENT_PROJECT,This variable stores the message that,,,Creating a log file for the %s project,,Création d'un fichier de logs pour le projet %s,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckProjectLogPath__BAD_PROJECT_LOG_FILE_PATH_PROVIDED,This variable stores the message that,,,BAD PATH PROVIDED INTO THE %s VARIABLE,,MAUVAIS CHEMIN FOURNI À LA VARIABLE %s,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__CheckProjectLogPath__BAD_PROJECT_LOG_FILE_PATH_PROVIDED__ADVICE,This variable stores the message that,,,"Please correct the path passed as argument, or redefine the variable if its value was modified somewhere",,"Veuillez corriger le chemin passé en argument, ou redéfinir la variable si sa valeur a été modifiée quelque part",,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CHECKINGS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_CMDS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_DECHO_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_DIRECTORIES_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ECHO_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_ERRORS_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILES_LIB__MSG__,This variable stores the message that,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__GetFSDevice__UNABLE_TO_GET_FS_DRIVE,This variable stores the message that indicates that the program is unable to get the target file system's path,,,Warning : unable to get the target (%s) file system's device,,Avertissement : impossible d'obtenir ... du système de fichiers cible (%s),,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__GetFSTotalSize__UNABLE_TO_GET_FS_TOTAL_SIZE,This variable stores the message that indicates that the program is unable to get the target file system's total size,,,Warning : unable to get the target (%s) file system's total size in bytes,,Avertissement : impossible d'obtenir la taille totale en octets du système de fichiers cible (%s),,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__GetFSMountPoint__UNABLE_TO_GET_FS_MOUNT_POINT,This variable stores the message that indicates that the program is unable to get the target file system's mount point,,,Warning : unable to get the target (%s) file system's mount point,,Avertissement : impossible d'obtenir le point de montage du système de fichiers cible (%s),,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__GetFSUsedSizeBytes__UNABLE_TO_GET_FS_USED_SIZE_BYTES,This variable stores the message that indicates that the program is unable to get the target file system's used size in bytes,,,Warning : unable to get the target (%s) file system's used size in bytes,,Avertissement : impossible d'obtenir la taille en octets utilisée sur le système de fichiers cible (%s),,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__GetFSUsedSizePercent__UNABLE_TO_GET_FS_USED_SIZE_PERCENT,This variable stores the message that indicates that the program is unable to get the target file system's used size in percentage,,,Warning : unable to get the target (%s) file system's used size percentage,,Avertissement : impossible d'obtenir le pourcentage d'utilisation du système de fichiers cible (%s),,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__GetFSAvailableSize__UNABLE_TO_GET_FS_AVAILABLE_SIZE,This variable stores the message that indicates that the program is unable to get the target file system's available size,,,Warning : unable to get the target (%s) file system's available size in bytes,,Avertissement : impossible d'obtenir la taille en octets disponible sur le système de fichiers cible (%s),,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__GetFSType__UNABLE_TO_GET_FS_TYPE,This variable stores the message that indicates that the program is unable to get the target file system's type,,,Warning : unable to get the target (%s) file system's type,,Avertissement : impossible d'obtenir le type du système de fichiers cible (%s),,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__CHANGING_FOLDER_OWNERSHIP_RIGHTS_MSG,This variable stores the message that,,,Changing the ownership rights of the %s folder from %s to %.,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__SUCCESSFULLY_CHANGED_FOLDER_REC_OWNERSHIP_RIGHTS_MSG,This variable stores the message that,,,The rights of the %s folder have been successfully changed from %s to %s,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__UNABLE_TO_CHANGE_FOLDER_REC_OWNERSHIP_RIGHTS,This variable stores the message that,,,Unable to change the rights of the %s folder,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__SUCCESSFULLY_CHANGED_FOLDER_OWNERSHIP_RIGHTS_MSG,This variable stores the message that,,,The rights of the %s folder have been successfully changed from %s to %s,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__UNABLE_TO_CHANGE_FOLDER_OWNERSHIP_RIGHTS,This variable stores the message that,,,UNABLE TO CHANGE THE RIGHTS OF THE %s FOLDER,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__UNABLE_TO_CHANGE_FOLDER_OWNERSHIP_RIGHTS_ADV,This variable stores the message that,,,Please run the script with the command %s to check what happened,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__UNSUPPORTED_4TH_ARG,This variable stores the message that,,,THE %s'S FUNCTION %s OPTION PASSED AS 4TH ARGUMENT IS NOT SUPPORTED,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__UNSUPPORTED_4TH_ARG_ADV,This variable stores the message that,,,The supported options for directory processing are :,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__CHANGING_FILE_OWNERSHIP_RIGHTS_MSG,This variable stores the message that,,,Changing the ownership rights of the %s file from %s to %s.,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__SUCCESSFULLY_CHANGED_FILE_OWNERSHIP_RIGHTS_MSG,This variable stores the message that,,,The rights of the %s file have been successfully changed from %s to %s.,,,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__UNABLE_TO_CHANGE_FILE_OWNERSHIP_RIGHTS,This variable stores the message that,,,Unable to change the rights of the %s file !,,Impossible de changer les permissions du fichier %s,,,,,,,,,,,,,,,,,
__BU_MAIN_FILESYSTEM_LIB__MSG__Chown__FILE_DOES_NOT_EXISTS,This variable stores the message that indicates that the targeted file to change ownership rights doesn't exists,,,THE %s FILE DOESN'T EXISTS,,LE FICHIER %S N'EXISTE PAS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_HEADERS_LIB__MSG__DrawLine__NOT_AN_INT,This variable stores the message that,,,"Warning : The value passed for the ""%s"" parameter is not an integer",,Avertissement : la valeur passée au paramètre %s n'est pas un nombre entier,,,,,,,,,,,,,,,,,
__BU_MAIN_HEADERS_LIB__MSG__HeaderBase__VALS_NOT_IN_ASC_ORDER,This variable stores the message that the value,,,"Warning : the values were not arranged in ascending order, like 123, 12, 13 or 23",,"Avertissement : les valeurs n'ont pas été arrangées dans l'ordre croissant, comme 123, 12, 13 ou 23",,,,,,,,,,,,,,,,,
__BU_MAIN_HEADERS_LIB__MSG__HeaderBase__bgColorPos_BAD_INT,"This variable stores the message that the value passed to the ""${bgColorPos}"" parameter is not a supported integer",,,"Warning : the value passed for the ""%s"" parameter is an unsupported integer value (1, 2 AND / OR 3 are supported)",,"Avertissement : la valeur passée au paramètre %s n'est pas un nombre entier accepté  (1, 2 ET / OU 3 sont acceptés)",,,,,,,,,,,,,,,,,
__BU_MAIN_HEADERS_LIB__MSG__HeaderBase__bgColorPos_TOO_BIG,"This variable stores the message that the value passed to the ""${bgColorPos}"" parameter is  too big",,,"Warning : the length of the value passed as ""%s"" parameter is too big",,Avertissement : la longueur de la valeur passée au paramètre %s est trop grande,,,,,,,,,,,,,,,,,
__BU_MAIN_HEADERS_LIB__MSG__HeaderBase__bgColorPos_NULL,"This variable stores the message that the value passed to the ""${bgColorPos}"" parameter is null",,,"Warning : the length of the value passed as ""%s"" parameter is null",,Avertissement : la longueur de la valeur passée au paramètre %s est nulle,,,,,,,,,,,,,,,,,
__BU_MAIN_HEADERS_LIB__MSG__HeaderBase__bgColorPos_NOT_POS_INT,"This variable stores the message that the value passed to the ""${bgColorPos}"" parameter is not a positive integer",,,"Warning : the value passed for the ""%s"" parameter is not a positive integer",,Avertissement : la valeur passée au paramètre %s n'est pas un nombre entier positif,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
__BU_MAIN_LOCALE_LIB__MSG__PrintLanguageName__CURR_LANG__ABKHAZIAN,This variable stores the message informing the framework that the language currently in use (ISO 639-1 code : ab) is Abkhazian,Abc'hazeg,Abchasisch,Abkhazian,Abĥaza,Abkhaze,Abház,,,アブハズ語,Abchazų kalba,Abhāzu valoda,,Abchazisch,,Abhază,Абхазский,,,Abchaziska,Abhazca,Абхазька,阿布哈茲語
__BU_MAIN_LOCALE_LIB__MSG__PrintLanguageName__CURR_LANG__AFAR,This variable stores the message informing the framework that the language currently in use (ISO 639-1 code : aa) is Afar,Afareg,Afar,Afar,Afara,Afar,Afar,,,アファル語,Afarų kalba,Afāru valoda,,Afar,,Afar,Афарский,,,Afar,Afar Dili,Афарська,阿法爾語
__BU_MAIN_LOCALE_LIB__MSG__PrintLanguageName__CURR_LANG__AFRIKAANS,This variable stores the message informing the framework that the language currently in use (ISO 639-1 code : af) is Afrikaans,Afrikaneg,Afrikaans,Afrikaans,Afrikansa,Afrikaans,Afrikaans,,,アフリカーンス語,Afrikanų kalba,Afrikandu valoda,,Afrikaans,,Afrikaans,Африкаанс,,,Afrikaans,Afrika Dili,Африкаанс,南非語
__BU_MAIN_LOCALE_LIB__MSG__PrintLanguageName__CURR_LANG__AKAN,This variable stores the message informing the framework that the language currently in use (ISO 639-1 code : ak) is Akan,Akaneg,Akan,Akan,Amhara,Akan,Akan,,,アカン語,Akanų kalba,Akanu valoda,,Akan,,Akan,Акан,,,Akan,Akan Dili,Акан,阿坎语
